ID товара,Название,Автор,Цикл,Том,Категория,Подкатегории,Издательство,Серия,Год издания,Возрастные ограничения,Переводчик,Художник,Цена,Цена со скидкой,Рейтинг,Кол-во оценок,ISBN,Аннотация,Отрывок,Обложка,Кол-во страниц,Тип обложки,Формат,Вес,Тираж,Наличие на сайте,Поступит в продажу,Наличие в магазинах,Наличие в местных магазинах,Карта
2783754,Гризли,Джеймс Оливер Кервуд,-,-,Детская художественная литература,"Проза для детей. Повести, рассказы",Т8 Издательские технологии,Пальмира-природа,2020,12+,Чехов М.,-,762,762,0.0,0,978-5-517-01784-0,"На севере Канады, в суровом и безлюдном краю, осиротевший медвежонок Мусква встречает огромного раненого медведя Тира. Их ждут невероятные приключения и открытия, но трогательная дружба поможет преодолеть все опасности. Увлекательный роман Дж. О. Кервуда «Гризли» (1916) повествует о том, как побеждают доброта, верность и мужество.",-,https://img-gorod.ru/27/837/2783754_detail.jpg,172,Мягкая глянцевая,21 x 14.8 x 1,230,-,Нет в наличии,-,-,-,-
2783604,Холодное торжество. Выпуск 2,-,-,-,Детская художественная литература,Сказки,Эксмодетство,Disney. Любимые мультфильмы. Книги для чтения,2020,-,-,-,,,0.0,0,978-5-04-111122-9,"У Анны никогда не было настоящего весёлого дня рождения, и теперь Эльза собирается это исправить – она несколько недель готовит для сестры потрясающую вечеринку-сюрприз! Ей помогают Кристоф, Свен и Олаф, а также все жители Эренделла. Когда наступает заветный день, оказывается, что королева перетрудилась и слегка простыла. И она и предположить не могла, к каким невероятным последствиям это может привести!",https://img-gorod.ru/27/836/2783604.pdf,https://img-gorod.ru/27/836/2783604_detail.jpg,96,Твердая бумажная,-,-,-,Нет в наличии,-,-,-,-
2783656,Гравити Фолз. Раскраска № 1 (Диппер и Мэйбл),-,-,-,Детская художественная литература,Раскраски,Эксмодетство,Disney. Гравити Фолз. Раскраски,2020,-,-,-,,,5.0,1,978-5-04-111109-0,"На каждой страничке тебя ждут Диппер, Мэйбл и другие герои любимого мультсериала Disney ""Гравити Фолз"". Скорее хватай карандаши или фломастеры и раскрашивай картинки!",https://img-gorod.ru/27/836/2783656.pdf,https://img-gorod.ru/27/836/2783656_detail.jpg,8,Мягкая бумажная,-,-,-,Нет в наличии,-,-,-,-
2783657,Гравити Фолз. Раскраска № 2 (Мэйбл и дядя Стэн),-,-,-,Детская художественная литература,Раскраски,Эксмодетство,Disney. Гравити Фолз. Раскраски,2020,-,-,-,,,5.0,1,978-5-04-111113-7,"В этой книжке тебя ждут Диппер, Мэйбл, дядя Стэн и другие герои любимого мультсериала Disney ""Гравити Фолз"". Скорее хватай карандаши или фломастеры и раскрашивай картинки!",https://img-gorod.ru/27/836/2783657.pdf,https://img-gorod.ru/27/836/2783657_detail.jpg,8,Мягкая бумажная,-,-,-,Нет в наличии,-,-,-,-
2783658,Гравити Фолз. Раскраска (с наклейками) № 1 (Диппер и Зус),-,-,-,Детская художественная литература,Раскраски,Эксмодетство,Disney. Гравити Фолз. Раскраски,2020,-,-,-,,,4.5,2,978-5-04-111111-3,"Здесь тебя ждут Диппер, Мэйбл, Зус и другие герои любимого мультсериала Disney ""Гравити Фолз"". Скорее хватай карандаши и раскрашивай картинки, а в награду получай потрясающие наклейки!",https://img-gorod.ru/27/836/2783658.pdf,https://img-gorod.ru/27/836/2783658_detail.jpg,8,Мягкая бумажная,-,-,-,Нет в наличии,-,-,-,-
2783659,Гравити Фолз. Раскраска (с наклейками) № 2 (Мэйбл и Венди),-,-,-,Детская художественная литература,Раскраски,Эксмодетство,Disney. Гравити Фолз. Раскраски,2020,-,-,-,,,0.0,0,978-5-04-111114-4,"В этой раскраске тебя ждут Диппер, Мэйбл, Венди и другие герои любимого мультсериала Disney ""Гравити Фолз"". Скорее хватай карандаши и раскрашивай картинки, а в награду получай потрясающие наклейки!",https://img-gorod.ru/27/836/2783659.pdf,https://img-gorod.ru/27/836/2783659_detail.jpg,8,Мягкая бумажная,-,-,-,Нет в наличии,-,-,-,-
2783660,Холодное сердце. Сила волшебства. Книга для чтения,-,-,-,Детская художественная литература,Сказки,Эксмодетство,Disney. Холодное сердце. Книги по фильму,2020,-,-,-,,,0.0,0,978-5-04-111125-0,"Волшебная история, лежащая в основе знаменитого анимационного фильма ""Холодное сердце"" + 40 красочных наклеек. Читайте историю о любимых героях - и дополняйте картинки наклейками!",https://img-gorod.ru/27/836/2783660.pdf,https://img-gorod.ru/27/836/2783660_detail.jpg,24,Мягкая бумажная,-,-,-,Нет в наличии,-,-,-,-
2783661,Холодное сердце. Ветер перемен. Книга для чтения,-,-,-,Детская художественная литература,Сказки,Эксмодетство,Disney. Холодное сердце. Книги по фильму,2020,-,-,-,,,0.0,0,978-5-04-111127-4,"Замечательная история о том, как Анна и Эльза отправились на корабле с дипломатическим визитом в соседние государства + 95 красочных наклеек. Читайте историю о любимых героях - и дополняйте картинки наклейками!",https://img-gorod.ru/27/836/2783661.pdf,https://img-gorod.ru/27/836/2783661_detail.jpg,24,Мягкая бумажная,-,-,-,Нет в наличии,-,-,-,-
2776795,"Очень занятые дети. Мама, папа, двое детей, кот и собака Джа",Юлия Данилова,-,-,Детская художественная литература,Комиксы для детей,Бином детства,-,2020,-,-,Татьяна Савушкина,788,788,0.0,0,978-5-9963-5168-8,"Поехать в зоомагазин за рыбками, а притащить щенка? Обычное дело! Особенно когда это происходит в веселой семье ОЧЕНЬ ЗАНЯТЫХ МАМЫ И ПАПЫ! Пришла пора познакомиться со всей весёлой семейкой: дочь Мия, сын Макс, кот Мел и щенок Джа. И все они очень ЗАНЯТЫ – они узнают мир и играют! Вас ждут смешные истории в комиксах о ЗАНЯТЫХ детях в волшебном доме. В нём кастрюли и сковородки, двери и окна, столы и стулья вовсю общаются и выражают своё мнение. А ДЕТИ ЗАНЯТЫ своими обычными детскими делами — приключениями. Такое волшебство в обычной жизни и есть счастье! Эта книга – настоящий подарок любым ОЧЕНЬ ЗАНЯТЫМ РОДИТЕЛЯМ, которые хотят провести время со своими детьми. И сделать это качественно и с пользой.? Короткие истории подобраны так, что они помогут отложить все дела, расслабиться, сесть на диван и почитать вместе с малышом. Или почитать их на ночь.",-,https://img-gorod.ru/27/767/2776795_detail.jpg,96,Твердая бумажная,21.6 x 21.6 x 1,390,3000,Нет в наличии,-,-,-,-
2780114,Плакат Ласточка с птенцами,-,-,-,Детское творчество и досуг,Поделки и модели из бумаги. Аппликация. Оригами,Сфера,-,2020,-,-,-,31,31,0.0,0,-,"Предлагаем вашему вниманию плакат ""Ласточка с птенцами"".",-,https://img-gorod.ru/27/801/2780114_detail.jpg,-,Картон,23.8 x 26.8 x 0.1,10,-,Нет в наличии,-,-,-,-
